"Group","Class","NamespacePrefix","NamespaceName","1_0","2_0","2_1","3_0","3_1","3_2","4_0","4_1","4_2","5_0","5_1"
"Code Set","namespace","fips_10-4","Federal Information Processing Standards (FIPS) 10-4 country and international state codes","4","4","4","4","4","4","","","","",""
"Code Set","namespace","fips_5-2","Federal Information Processing Standards (FIPS) 5-2 US state codes","4","4","4","4","4","4","2","2","2","",""
"Code Set","namespace","fips_6-4","Federal Information Processing Standards (FIPS) 6-4 US county codes","2","2","2","2","2","2","","","","",""
"Code Set","namespace","genc","Geopolitical Entities, Names, and Codes (GENC) codes","","","","2","2","2","","","4","8","8"
"Code Set","namespace","have","EDXL Hospital AVailability Exchange (HAVE)","24","24","","","","","","","","",""
"Code Set","namespace","have-codes","EDXL Hospital AVailability Exchange (HAVE) codes","","","24","24","24","24","24","24","24","24","24"
"Code Set","namespace","hazmat","DOT Hazardous Materials (HAZMAT) codes","","2","2","2","2","2","2","2","2","2","2"
"Code Set","namespace","hl7","Health Level Seven (HL-7) religion codes","","","","2","2","2","2","2","2","2","2"
"Code Set","namespace","ism","Intelligence Community Information Security Marking (IC-ISM) codes","2","","","","","","","","","",""
"Code Set","namespace","iso_3166","ISO 3166 country and subdivision codes","6","6","6","2","2","2","8","8","8","8","8"
"Code Set","namespace","iso_4217","ISO 4217 currency codes","2","2","2","2","2","2","2","2","2","2","2"
"Code Set","namespace","iso_639-2b","ISO 639-3 language codes","2","","","","","","","","","",""
"Code Set","namespace","iso_639-2t","ISO 639-3 language codes","2","","","","","","","","","",""
"Code Set","namespace","iso_639-3","ISO 639-3 language codes","","2","2","2","2","2","2","2","2","2","2"
"Code Set","namespace","itcodes","International Trade domain codes","","","","44","44","44","44","44","44","44","44"
"Code Set","namespace","itis","Integrated Transportation Information System (ITIS) codes","4","4","4","","","","","","","",""
"Code Set","namespace","jc3iedm","DoD Joint Consultation, Command and Control Information Exchange Data Model (JC3IEDM) codes","","","","4","4","4","4","4","4","4","4"
"Code Set","namespace","jp2-0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","","","","","","","","","","2","2"
"Code Set","namespace","jp3-52","DoD Joint Publication 3-52 (JP3-52) Joint Airspace Control codes","","","","5","5","5","5","5","5","5","5"
"Code Set","namespace","lasd","Los Angeles Sheriffs Department (LASD) codes","4","4","4","","","","","","","",""
"Code Set","namespace","mmucc","Model Minimum Uniform Crash Criteria (MMUCC) codes","","","","180","160","146","146","146","146","146","146"
"Code Set","namespace","mmucc_2","Model Minimum Uniform Crash Criteria (MMUCC) codes","154","154","154","","","","","","","",""
"Code Set","namespace","mn_off","Minnesota statute and offense codes","6","6","6","","","","","","","",""
"Code Set","namespace","nces","National Center for Education Statistics (NCES) codes","","","","","","","","","","2","2"
"Code Set","namespace","ncic","FBI National Crime and Information Center (NCIC) codes","122","","","114","114","104","180","180","184","152","176"
"Code Set","namespace","ndex","FBI National Data Exchange (N-DEx) Specification codes","","","","238","240","240","240","240","250","176","176"
"Code Set","namespace","nga","National Geospatial Agency (NGA) codes","","2","2","4","4","4","4","4","4","4","4"
"Code Set","namespace","nibrs","FBI National Incident-Based Reporting System (NIBRS) codes","44","","","","","","12","12","","",""
"Code Set","namespace","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes","6","6","6","6","6","6","6","6","6","6","6"
"Code Set","namespace","nonauth","Non-authoritative codes","10","10","10","","","","","","","",""
"Code Set","namespace","occs","OMNI Class Building Codes","","","","6","6","6","6","6","6","10","10"
"Code Set","namespace","opm","US Office of Personnel Management (OPM) codes","","","","","","","","","","2","2"
"Code Set","namespace","sar","Suspicious Activity Reporting (SAR) codes","","6","6","8","8","8","8","8","8","8","8"
"Code Set","namespace","stix","Structured Threat Information Expression (STIX) codes","","","","","","","","","","","2"
"Code Set","namespace","twpdes","Terrorist Watchlist Person Data Exchange Standard (TWPDES) codes","10","10","10","","","","","","","",""
"Code Set","namespace","ucr","FBI Uniform Crime Reporting (UCR) codes","2","2","2","46","46","46","46","46","56","44","44"
"Code Set","namespace","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes","8","8","8","12","12","12","12","12","12","14","14"
"Code Set","namespace","usda_fsa","United Stated Department of Agriculture (USDA) Farm Service Agency (FSA) codes","","","","","","","4","4","4","4","4"
"Code Set","namespace","usps","U.S. Postal Service (USPS) codes","2","2","2","2","2","2","2","2","2","6","6"
"Code Set","namespace","ut_offender","Utah Offender Tracking Database codes","10","10","10","","","","","","","",""
"Code Set","namespace","xCard","vCard XML representation codes","","","","2","2","2","2","2","2","2","2"
"Code Set","namespace","xml","XML","","","","","","","","","","",""
"Total","total","","","1,420","1,563","2,236","2,681","2,892","3,205","3,710","3,870","3,935","4,016","4,370"
