Filler,OldRule,NewRule,Targets,Title,Text
x,5-29,5-28,WF-IEPD,c:pathURI for c:SchemaDocumentSet,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:SchemaDocumentSet element MUST resolve to an XML schema document set."
x,5-30,5-29,WF-IEPD,c:pathURI for c:ConstraintSchemaDocumentSet,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:ConstraintSchemaDocumentSet element MUST resolve to a NIEM XML schema document set."
x,5-31,5-30,WF-IEPD,Schema document set interpreted as constraint schema document set,Any XML schema document set whose c:pathURI attribute resolves to a constraint schema document set MUST be interpreted to be a constraint schema document set.
x,5-32,5-31,WF-IEPD,Resolve IEPD URI with Fragment,"Given an absolute IEPD URI [RFC 3986 URI], §4.3, Absolute URI with a fragment, resolve this URI as follows: 
- Resolve the base URI (per [RFC 3986 URI]) to retrieve the resource IEPD. If the resource IEPD does not exist, then fail (existence error). 
- Apply the fragment (without ""#"") to the IEPD resource: Locate a structures:id attribute value that matches the fragment string. If more than one exist, then fail (ambiguity error). If none exists, then continue. Locate a path name (for a directory or file) that matches the fragment string. If more than one exist, then fail (ambiguity error). If none exists, then fail (existence error). 
- Locate a structures:id attribute value that matches the fragment string. If more than one exist, then fail (ambiguity error). If none exists, then continue. 
- Locate a path name (for a directory or file) that matches the fragment string. If more than one exist, then fail (ambiguity error). If none exists, then fail (existence error). 
- Return the element, directory, or file found."
x,5-33,5-32,XML-catalog,XML Catalog uri Value Resolves to Resource,"Within an XML catalog document, the value of a uri attribute owned by a er:uri element MUST resolve to a resource."
x,5-34,5-33,XML-catalog,XML Catalog uri Value Resolves to Resource with Correct Target Namespace,"Within an XML catalog document, given an XML schema document resolved by the value of a uri attribute owned by a er:uri element, the XML schema document target namespace MUST equal the value of the name (a namespace string) attribute owned by the er:uri element."
x,5-35,5-34,IEPD,IEPD Has a Change Log,An IEPD MUST contain a change log artifact that is identified by a c:IEPDChangeLog element in its IEPD catalog document.
x,5-36,5-35,WF-IEPD,"Readme Describes Purpose, Scope, Business Value, etc.","A readme artifact SHOULD (at a minimum) describe the IEPD purpose, scope, business value, exchange information, typical senders/receivers, interactions, and references to other documentation."
x,5-37,5-36,IEPD,IEPD Has a ReadMe Artifact,An IEPD MUST contain a readme artifact that is identified by a c:ReadMe element in its IEPD catalog document.
x,5-38,5-37,IEPD-catalog,Conformance Target Identifier,"A conformance target identifier for an IEP conformance target declared in an IEPD is formed by concatenating in sequence: 
- the IEPD URI, and 
- the pound sign character (#). and 
- a locally unique NCName (i.e., a non-colonized name, as defined by [W3C XML Schema Part 2 Datatypes], §3.3.7, NCName)."
x,5-39,5-38,IEPD-catalog,IEP Conformance Target Has a structures:id,A c:IEPConformanceTarget element MUST own a structures:id attribute.
x,5-40,5-39,IEPD,IEPD Declares One or More IEP Conformance Targets,The IEPD catalog document of an IEPD MUST contain one or more c:IEPConformanceTarget elements.
x,5-41,5-40,IEPD-catalog,Validity contraint context is value of c:xPathText,"Given a c:xPathText attribute owned by c:ValidityContext, the validity constraint context for the descendant’s validity constraint SHALL be the value of c:xPathText evaluated against the IEP’s document information item (See [W3C XML InfoSet], §2.1, The Document Information Item)."
x,5-42,5-41,IEP,IEP has Document Element,"Within an IEPD catalog document, if an c:IEPConformanceTarget element for an IEP has a c:HasDocumentElement child element owning a c:qualifiedNameList attribute with a value of $LIST, then the document element of the IEP MUST have a QName that is a member of $LIST."
x,5-43,5-42,IEP,Validating an XPath Expression,"Within an IEPD catalog document with a c:xPathText attribute owned by a c:ValidToXPath element, a candidate IEP is a valid IEP, ONLY IF the value of c:ValidToXPath applied to the candidate IEP (an XML document) has an effective Boolean value (EBV) equal to true. EBV is defined by [W3C XPath 3.1], §2.4.3, Effective Boolean Value."
x,5-44,5-43,IEPD,IEPD Has an IEP Sample for Each c:IEPConformanceTarget,"Within the IEPD catalog document of an IEPD, a c:IEPConformanceTarget element MUST contain a c:IEPSampleXMLDocument child element."
x,5-45,5-44,IEP,Validating an IEP Sample XML Document,"Within an IEPD catalog document with a c:pathURI attribute owned by a c:IEPSampleXMLDocument, the artifact resolved by the value of c:pathURI MUST be valid for the validity constraints of the c:IEPConformanceTarget parent of c:IEPSampleXMLDocument."
x,5-46,5-45,IEPD,IEPD Has Conformance Assertion,An IEPD MUST contain a conformance assertion artifact that is identified by a c:ConformanceAssertion element in its IEPD catalog document.
